Frame,Body Part,X,Y,UPDRS_gait
0,Nose,347,46,1
0,Neck,320,70,1
0,RShoulder,306,70,1
0,RElbow,306,101,1
0,LShoulder,333,70,1
0,RHip,306,140,1
0,RAnkle,306,313,1
0,LHip,320,140,1
0,LKnee,306,258,1
0,LAnkle,306,313,1
0,REye,347,39,1
0,REar,333,39,1
0,Background,13,352,1
1,Nose,347,46,1
1,Neck,320,70,1
1,RShoulder,306,70,1
1,RElbow,306,101,1
1,LShoulder,333,70,1
1,RHip,306,140,1
1,RAnkle,306,313,1
1,LHip,320,140,1
1,LKnee,306,258,1
1,LAnkle,306,313,1
1,REye,347,39,1
1,REar,333,39,1
1,Background,13,352,1
2,Nose,347,46,1
2,Neck,320,70,1
2,RShoulder,306,70,1
2,RElbow,306,101,1
2,LShoulder,333,70,1
2,RHip,306,140,1
2,RAnkle,306,313,1
2,LHip,320,140,1
2,LAnkle,306,313,1
2,REye,347,39,1
2,REar,333,39,1
2,Background,13,352,1
3,Nose,347,46,1
3,Neck,320,70,1
3,RShoulder,306,70,1
3,RElbow,306,101,1
3,LShoulder,333,70,1
3,RHip,292,148,1
3,RAnkle,306,313,1
3,LHip,320,140,1
3,LKnee,306,258,1
3,LAnkle,306,313,1
3,REye,347,39,1
3,REar,333,39,1
3,Background,13,352,1
4,Nose,347,46,1
4,Neck,320,70,1
4,RShoulder,306,70,1
4,RElbow,306,101,1
4,LShoulder,333,70,1
4,RHip,306,156,1
4,RAnkle,306,313,1
4,LKnee,306,258,1
4,LAnkle,306,313,1
4,REye,347,39,1
4,REar,333,39,1
4,Background,13,352,1
5,Nose,361,46,1
5,Neck,320,70,1
5,RShoulder,306,70,1
5,RElbow,306,101,1
5,LShoulder,333,70,1
5,RHip,306,164,1
5,RKnee,306,266,1
5,RAnkle,306,313,1
5,LKnee,306,258,1
5,LAnkle,306,313,1
5,REye,347,39,1
5,REar,333,39,1
5,Background,13,344,1
6,Nose,361,46,1
6,Neck,320,70,1
6,RShoulder,306,70,1
6,RElbow,306,101,1
6,LShoulder,333,70,1
6,RHip,306,156,1
6,RKnee,306,266,1
6,RAnkle,306,313,1
6,LKnee,306,266,1
6,LAnkle,306,313,1
6,REye,347,39,1
6,REar,333,39,1
6,Background,13,344,1
7,Nose,361,46,1
7,Neck,320,70,1
7,RShoulder,306,70,1
7,RElbow,306,101,1
7,LShoulder,333,70,1
7,RHip,306,148,1
7,RKnee,306,266,1
7,RAnkle,306,313,1
7,LHip,320,140,1
7,LKnee,306,266,1
7,LAnkle,306,313,1
7,REye,347,46,1
7,REar,333,39,1
7,Background,0,336,1
8,Nose,361,46,1
8,Neck,320,70,1
8,RShoulder,306,70,1
8,RElbow,306,109,1
8,LShoulder,333,70,1
8,RHip,306,164,1
8,RAnkle,306,313,1
8,LKnee,306,266,1
8,LAnkle,306,313,1
8,REye,347,46,1
8,REar,333,39,1
8,Background,0,336,1
9,Nose,361,46,1
9,Neck,320,70,1
9,RShoulder,306,70,1
9,RElbow,306,109,1
9,LShoulder,333,70,1
9,RHip,306,156,1
9,RKnee,306,273,1
9,RAnkle,306,313,1
9,LKnee,306,273,1
9,LAnkle,306,313,1
9,REye,347,46,1
9,REar,333,39,1
9,Background,0,336,1
10,Nose,361,46,1
10,Neck,320,70,1
10,RShoulder,306,70,1
10,RElbow,306,109,1
10,LShoulder,333,70,1
10,RHip,306,148,1
10,RKnee,306,273,1
10,RAnkle,306,313,1
10,LHip,320,140,1
10,LKnee,306,273,1
10,LAnkle,306,313,1
10,REye,347,39,1
10,REar,333,39,1
10,Background,0,336,1
11,Nose,361,46,1
11,Neck,320,70,1
11,RShoulder,306,70,1
11,RElbow,306,109,1
11,LShoulder,333,70,1
11,RHip,306,148,1
11,RKnee,306,273,1
11,RAnkle,306,313,1
11,LHip,320,140,1
11,LKnee,306,273,1
11,LAnkle,306,313,1
11,REye,347,46,1
11,REar,333,39,1
11,Background,0,336,1
12,Nose,361,46,1
12,Neck,320,70,1
12,RShoulder,306,70,1
12,RElbow,306,109,1
12,LShoulder,333,70,1
12,RHip,306,148,1
12,RKnee,306,273,1
12,RAnkle,306,313,1
12,LKnee,306,273,1
12,LAnkle,306,313,1
12,REye,347,46,1
12,REar,333,39,1
12,Background,0,336,1
13,Nose,361,46,1
13,Neck,320,70,1
13,RShoulder,306,70,1
13,RElbow,306,109,1
13,LShoulder,333,70,1
13,RHip,306,148,1
13,RKnee,306,273,1
13,RAnkle,306,313,1
13,LKnee,306,273,1
13,LAnkle,306,313,1
13,REye,347,46,1
13,REar,333,39,1
13,Background,0,336,1
14,Nose,361,46,1
14,Neck,320,70,1
14,RShoulder,306,70,1
14,RElbow,306,109,1
14,LShoulder,333,70,1
14,RHip,306,148,1
14,RKnee,306,281,1
14,RAnkle,306,313,1
14,LKnee,306,281,1
14,LAnkle,306,313,1
14,REye,347,39,1
14,REar,333,39,1
14,Background,0,336,1
15,Nose,361,46,1
15,Neck,320,70,1
15,RShoulder,306,70,1
15,RElbow,306,109,1
15,LShoulder,333,70,1
15,RHip,306,148,1
15,RKnee,306,273,1
15,RAnkle,306,313,1
15,LKnee,306,273,1
15,LAnkle,306,313,1
15,REye,347,39,1
15,REar,333,39,1
15,Background,0,336,1
16,Nose,361,46,1
16,Neck,320,70,1
16,RShoulder,306,70,1
16,RElbow,306,109,1
16,LShoulder,333,70,1
16,RHip,306,148,1
16,RKnee,306,273,1
16,RAnkle,306,313,1
16,LKnee,306,273,1
16,LAnkle,306,313,1
16,REye,347,39,1
16,REar,333,39,1
16,Background,0,336,1
17,Nose,361,46,1
17,Neck,320,70,1
17,RShoulder,306,70,1
17,RElbow,306,109,1
17,LShoulder,333,70,1
17,RHip,306,148,1
17,RAnkle,306,313,1
17,LAnkle,306,313,1
17,REye,347,46,1
17,REar,333,39,1
17,Background,0,336,1
18,Nose,361,46,1
18,Neck,320,70,1
18,RShoulder,306,70,1
18,RElbow,306,109,1
18,LShoulder,333,70,1
18,RKnee,306,273,1
18,RAnkle,306,313,1
18,LKnee,306,273,1
18,LAnkle,306,313,1
18,REye,347,46,1
18,REar,333,39,1
18,Background,0,336,1
19,Nose,361,46,1
19,Neck,320,70,1
19,RShoulder,306,70,1
19,RElbow,306,109,1
19,LShoulder,333,70,1
19,RHip,306,140,1
19,RKnee,306,273,1
19,RAnkle,306,313,1
19,LKnee,306,273,1
19,LAnkle,320,313,1
19,REye,347,46,1
19,REar,333,39,1
19,Background,0,336,1
20,Nose,361,46,1
20,Neck,320,70,1
20,RShoulder,306,70,1
20,RElbow,306,101,1
20,LShoulder,333,70,1
20,RHip,306,140,1
20,RKnee,306,273,1
20,RAnkle,306,313,1
20,LKnee,320,273,1
20,LAnkle,320,313,1
20,REye,361,46,1
20,REar,333,39,1
20,Background,0,336,1
21,Nose,361,54,1
21,Neck,320,70,1
21,RShoulder,320,70,1
21,RElbow,306,109,1
21,LShoulder,333,70,1
21,RHip,306,148,1
21,RKnee,306,273,1
21,RAnkle,306,313,1
21,LKnee,320,273,1
21,LAnkle,320,313,1
21,REye,361,46,1
21,REar,333,39,1
21,Background,0,336,1
22,Nose,361,54,1
22,Neck,320,70,1
22,RShoulder,320,70,1
22,RElbow,306,109,1
22,LShoulder,333,70,1
22,RHip,320,180,1
22,RKnee,306,266,1
22,RAnkle,306,313,1
22,LHip,320,180,1
22,LKnee,320,273,1
22,LAnkle,320,305,1
22,REye,361,46,1
22,REar,333,39,1
22,Background,0,336,1
23,Nose,361,54,1
23,Neck,320,70,1
23,RShoulder,320,70,1
23,RElbow,306,117,1
23,RWrist,333,180,1
23,LShoulder,333,70,1
23,RHip,320,180,1
23,RKnee,306,266,1
23,RAnkle,306,305,1
23,LHip,320,180,1
23,LKnee,320,266,1
23,LAnkle,320,305,1
23,REye,361,46,1
